rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B6,1,1000,lam=1000,False,C_context,20,0.060356173799577841,0.013496050747764781
B6,1,1000,lam=1000,False,X_prior_composite,24,0,0
B6,1,3000,lam=3000,True,phase1_backbone,88,0.073607044860032,0.007846537346489187
B6,1,3000,lam=3000,True,C_context,20,0.023337006971868707,0.0052183133980484948
B6,1,3000,lam=3000,True,X_prior_composite,24,0,0
B6,1,10000,lam=10000,False,phase1_backbone,88,0.030778625481895631,0.003281012500590597
B6,1,10000,lam=10000,False,C_context,20,0.0074664106148662306,0.0016695401682766892
B6,1,10000,lam=10000,False,X_prior_composite,24,0,0
B6,2,100,lam=100,False,phase1_backbone,88,0.40677479971652597,0.04336233934748665
B6,2,100,lam=100,False,C_context,20,0.24893648054421769,0.055663889257642457
B6,2,100,lam=100,False,X_prior_composite,24,0.23770418023632639,0.048521162608797117
B6,2,300,lam=300,False,phase1_backbone,88,0.25421317136958854,0.027099215121513916
B6,2,300,lam=300,False,C_context,20,0.14751993856331605,0.032986461066416735
B6,2,300,lam=300,False,X_prior_composite,24,0.11986959991518482,0.024468279621980712
B6,2,1000,lam=1000,True,phase1_backbone,88,0.15590183759975598,0.016619191728712009
B6,2,1000,lam=1000,True,C_context,20,0.065534064116286303,0.014653862220584585
B6,2,1000,lam=1000,True,X_prior_composite,24,0.05182262785473471,0.010578249614520209
B6,2,3000,lam=3000,False,phase1_backbone,88,0.098402668396972759,0.01048975969676909
B6,2,3000,lam=3000,False,C_context,20,0.026250303897125415,0.0058697463944000069
B6,2,3000,lam=3000,False,X_prior_composite,24,0.025264684845416344,0.0051571321986247452
B6,2,10000,lam=10000,False,phase1_backbone,88,0.049386847882777286,0.0052646556735768402
B6,2,10000,lam=10000,False,C_context,20,0.0085760389987603707,0.0019176606178917422
B6,2,10000,lam=10000,False,X_prior_composite,24,0.012687893550706568,0.0025899054258317149
B6,3,100,lam=100,False,phase1_backbone,88,0.41422135963295909,0.044156145301770908
B6,3,100,lam=100,False,C_context,20,0.2270414801767153,0.050768018338730632
B6,3,100,lam=100,False,X_prior_composite,24,0.23938563398380616,0.048864387917748449
B6,3,300,lam=300,False,phase1_backbone,88,0.27195364523280269,0.028990355989576534
B6,3,300,lam=300,False,C_context,20,0.1419403023620838,0.031738816482849333
B6,3,300,lam=300,False,X_prior_composite,24,0.13948069890149087,0.028471378439619235
B6,3,1000,lam=1000,True,phase1_backbone,88,0.17416204254008386,0.018565736115751089
B6,3,1000,lam=1000,True,C_context,20,0.066909235311726309,0.014961359847954936
B6,3,1000,lam=1000,True,X_prior_composite,24,0.068067488981691918,0.01389421800647178
B6,3,3000,lam=3000,False,phase1_backbone,88,0.11692152775128556,0.012463876736983232
B6,3,3000,lam=3000,False,C_context,20,0.028294272440631162,0.0063267916551150161
B6,3,3000,lam=3000,False,X_prior_composite,24,0.036359222683405149,0.0074217952515475321
B6,3,10000,lam=10000,False,phase1_backbone,88,0.065550146994385758,0.0069876691482093035
