match_id,home_sot_residual_last5,away_sot_residual_last5,rel_sot_residual_diff,home_sot_residual_available,away_sot_residual_available,rel_sot_residual_available,home_match_number,away_match_number
1395,-0.39999999999999991,0,-0.39999999999999991,True,True,True,26,26
1396,1.6000000000000001,0.59999999999999987,1.0000000000000002,True,True,True,26,26
1397,0.19999999999999973,0,0.19999999999999973,True,True,True,26,26
1398,-1.5999999999999999,1.2,-2.7999999999999998,True,True,True,26,26
1399,0.79999999999999982,0,0.79999999999999982,True,True,True,26,27
1400,-1.2000000000000002,-3,1.7999999999999998,True,True,True,26,26
1401,2.5999999999999996,0.20000000000000018,2.3999999999999995,True,True,True,27,27
1402,-0.40000000000000002,-2.6000000000000001,2.2000000000000002,True,True,True,27,27
1403,1.5999999999999999,0.40000000000000002,1.1999999999999997,True,True,True,27,28
1404,0.80000000000000004,0.39999999999999997,0.40000000000000008,True,True,True,27,27
1405,0.79999999999999993,0.80000000000000004,-1.1102230246251565e-16,True,True,True,27,27
1406,-0.59999999999999998,-0.39999999999999991,-0.20000000000000007,True,True,True,28,27
1407,-1.4000000000000001,0.60000000000000009,-2,True,True,True,27,27
1408,-2,0.19999999999999996,-2.2000000000000002,True,True,True,27,27
1409,-0.20000000000000007,1.0000000000000002,-1.2000000000000002,True,True,True,27,27
1410,-0.79999999999999993,-0.39999999999999991,-0.40000000000000002,True,True,True,27,27
1411,0.59999999999999987,0.20000000000000007,0.3999999999999998,True,True,True,28,29
1412,2.2000000000000002,1,1.2000000000000002,True,True,True,28,28
1413,0.80000000000000004,0,0.80000000000000004,True,True,True,28,28
1414,-0.80000000000000004,-3.3999999999999995,2.5999999999999996,True,True,True,29,28
1415,-1.8,0.80000000000000004,-2.6000000000000001,True,True,True,28,28
1416,1.2,1.2000000000000002,-2.2204460492503131e-16,True,True,True,28,28
1417,0.20000000000000001,-0.79999999999999982,0.99999999999999978,True,True,True,28,28
1418,-1,-0.39999999999999991,-0.60000000000000009,True,True,True,28,28
1419,0,0.20000000000000007,-0.20000000000000007,True,True,True,28,28
1420,-0.20000000000000001,-0.19999999999999996,-5.5511151231257827e-17,True,True,True,28,28
1421,0.80000000000000004,0.59999999999999998,0.20000000000000007,True,True,True,29,29
1422,1,-0.20000000000000001,1.2,True,True,True,29,29
1423,1,-1.6000000000000001,2.6000000000000001,True,True,True,29,29
1424,0.80000000000000004,2.3999999999999999,-1.5999999999999999,True,True,True,29,29
1425,-3.2000000000000002,0.60000000000000009,-3.8000000000000003,True,True,True,29,29
1426,0,0.79999999999999993,-0.79999999999999993,True,True,True,29,29
1427,0,-1.6000000000000001,1.6000000000000001,True,True,True,29,29
1428,-0.60000000000000009,-0.40000000000000002,-0.20000000000000007,True,True,True,29,29
1429,0.40000000000000002,-0.20000000000000001,0.60000000000000009,True,True,True,30,30
1430,-1,-0.80000000000000004,-0.19999999999999996,True,True,True,30,30
1431,0.40000000000000002,-0.80000000000000004,1.2000000000000002,True,True,True,30,30
1432,1.5999999999999999,0.39999999999999991,1.2,True,True,True,30,30
1433,1.8,0.20000000000000001,1.6000000000000001,True,True,True,30,30
1434,-0.79999999999999993,1.2,-2,True,True,True,30,30
1435,0.59999999999999998,0,0.59999999999999998,True,True,True,30,30
1436,-0.60000000000000009,-0.59999999999999998,-1.1102230246251565e-16,True,True,True,29,30
1437,-2.3999999999999999,-0.19999999999999996,-2.2000000000000002,True,True,True,30,29
1438,1.2,-0.40000000000000002,1.6000000000000001,True,True,True,30,30
1439,-0.80000000000000004,-0.59999999999999998,-0.20000000000000007,True,True,True,31,31
1440,0.19999999999999996,1.7999999999999998,-1.5999999999999999,True,True,True,30,31
1441,1,0.20000000000000001,0.80000000000000004,True,True,True,31,31
1442,-0.19999999999999996,0,-0.19999999999999996,True,True,True,31,31
1443,-0.60000000000000009,2.6000000000000001,-3.2000000000000002,True,True,True,31,31
1444,-0.80000000000000004,1.9999999999999998,-2.7999999999999998,True,True,True,31,31
1445,-1.6000000000000001,0,-1.6000000000000001,True,True,True,31,31
1446,0.20000000000000007,0.80000000000000004,-0.59999999999999998,True,True,True,31,31
1447,-0.80000000000000004,-2.3999999999999995,1.5999999999999994,True,True,True,31,31
1448,-0.39999999999999991,-0.79999999999999993,0.40000000000000002,True,True,True,31,30
1449,0.59999999999999998,-1.2,1.7999999999999998,True,True,True,32,32
1450,1,-0.59999999999999964,1.5999999999999996,True,True,True,32,32
1451,0.79999999999999993,-0.59999999999999987,1.3999999999999999,True,True,True,32,31
1452,-1.6000000000000001,-0.60000000000000009,-1,True,True,True,32,32
1453,-1.4000000000000001,-0.19999999999999996,-1.2000000000000002,True,True,True,32,32
1454,2.2000000000000002,-1.4000000000000001,3.6000000000000005,True,True,True,32,32
1455,0.40000000000000013,-0.59999999999999998,1,True,True,True,32,32
1456,-0.40000000000000002,0.59999999999999998,-1,True,True,True,31,32
1457,0.59999999999999998,0,0.59999999999999998,True,True,True,32,32
1458,3,-1.2000000000000002,4.2000000000000002,True,True,True,32,32
1459,-0.59999999999999998,-1.7999999999999998,1.1999999999999997,True,True,True,32,32
1460,1.2000000000000002,-0.80000000000000004,2,True,True,True,33,33
1461,-1.2,1.6000000000000001,-2.7999999999999998,True,True,True,33,33
1462,-1.5999999999999999,1.5999999999999999,-3.1999999999999997,True,True,True,33,33
1463,-1,1.8,-2.7999999999999998,True,True,True,33,33
1464,-0.40000000000000002,-1.6000000000000001,1.2000000000000002,True,True,True,33,33
1465,0,2.3999999999999999,-2.3999999999999999,True,True,True,33,33
1466,-2,0.99999999999999989,-3,True,True,True,33,33
1467,-1.2,1.2000000000000002,-2.4000000000000004,True,True,True,33,33
1468,0.60000000000000009,0.19999999999999996,0.40000000000000013,True,True,True,33,33
1469,-0.20000000000000007,-1.6000000000000001,1.3999999999999999,True,True,True,33,33
1470,2.2000000000000002,2,0.20000000000000018,True,True,True,34,34
1471,1.5999999999999999,-1.3999999999999999,3,True,True,True,34,34
1472,0.59999999999999998,-0.40000000000000002,1,True,True,True,34,34
1473,3,-1.6000000000000001,4.5999999999999996,True,True,True,34,34
1474,-1.3999999999999999,-3.5999999999999996,2.1999999999999997,True,True,True,34,34
1475,-1.4000000000000001,-0.80000000000000004,-0.60000000000000009,True,True,True,34,34
1476,0.19999999999999996,-2.4000000000000004,2.6000000000000005,True,True,True,34,34
1477,1.5999999999999999,0.80000000000000004,0.79999999999999982,True,True,True,34,34
1478,2.7999999999999998,1.3999999999999999,1.3999999999999999,True,True,True,34,34
1479,-2.3999999999999999,-0.60000000000000009,-1.7999999999999998,True,True,True,34,34
1480,2.6000000000000001,0.60000000000000009,2,True,True,True,35,35
1481,1.7999999999999998,0.20000000000000001,1.5999999999999999,True,True,True,35,35
1482,1.5999999999999999,-0.20000000000000001,1.7999999999999998,True,True,True,35,35
1483,-2.1999999999999997,-4,1.8000000000000003,True,True,True,35,35
1484,-2.7999999999999998,-1.8,-0.99999999999999978,True,True,True,35,35
1485,-1,2,-3,True,True,True,35,35
1486,1.3999999999999999,-1.0000000000000002,2.4000000000000004,True,True,True,35,35
1487,3.8000000000000003,2.7999999999999998,1.0000000000000004,True,True,True,35,35
1488,-1.2000000000000002,0.79999999999999993,-2,True,True,True,35,35
1489,-2,-1.6000000000000001,-0.39999999999999991,True,True,True,35,35
1490,-1.6000000000000001,1.8000000000000003,-3.4000000000000004,True,True,True,36,36
1491,0,-2.2000000000000002,2.2000000000000002,True,True,True,36,36
1492,-2.3999999999999999,-1,-1.3999999999999999,True,True,True,36,36
1493,-1.6000000000000001,2,-3.6000000000000001,True,True,True,36,36
1494,0.60000000000000009,0.40000000000000002,0.20000000000000007,True,True,True,36,36
1495,1.7999999999999998,2.3999999999999999,-0.60000000000000009,True,True,True,36,36
1496,1,-1.2000000000000002,2.2000000000000002,True,True,True,36,36
1497,-0.40000000000000013,4,-4.4000000000000004,True,True,True,36,36
1498,-0.40000000000000002,-2.2000000000000002,1.8000000000000003,True,True,True,36,36
1499,1.2,-1.6000000000000001,2.7999999999999998,True,True,True,36,36
1500,0.60000000000000009,-0.59999999999999987,1.2,True,True,True,37,37
1501,3.2000000000000002,2.2000000000000002,1,True,True,True,37,37
1502,2.1999999999999997,0.20000000000000018,1.9999999999999996,True,True,True,37,37
1503,-0.39999999999999991,0.40000000000000002,-0.79999999999999993,True,True,True,37,37
1504,-1.8,-2.2000000000000002,0.40000000000000013,True,True,True,37,37
1505,-1.8000000000000003,-1.6000000000000001,-0.20000000000000018,True,True,True,37,37
1506,-1.6000000000000001,0,-1.6000000000000001,True,True,True,37,37
1507,-0.80000000000000004,1.2,-2,True,True,True,37,37
1508,0.39999999999999997,0.40000000000000002,-5.5511151231257827e-17,True,True,True,37,37
1509,2.3999999999999999,-1.3999999999999999,3.7999999999999998,True,True,True,37,37
1510,-0.59999999999999998,-1.8,1.2000000000000002,True,True,True,38,38
1511,-0.59999999999999998,2,-2.6000000000000001,True,True,True,38,38
1512,-0.39999999999999991,-1.2,0.80000000000000004,True,True,True,38,38
1513,-0.20000000000000001,1,-1.2,True,True,True,38,38
1514,1.6000000000000001,0.40000000000000013,1.2,True,True,True,38,38
1515,1,-1.3999999999999999,2.3999999999999999,True,True,True,38,38
1516,-0.40000000000000002,2.3999999999999999,-2.7999999999999998,True,True,True,38,38
