rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B2,3,3,10000,lam=10000,855,285,2023-10-28,2023-10-29,0.99914066912926203,0.21271797886808222,0.53333333333333333,4
B2,4,1,100,lam=100,380,380,2022-05-22,2022-08-05,1.0199964459428035,0.21538404320977872,0.50789473684210529,29
B2,4,2,100,lam=100,760,380,2023-05-28,2023-08-11,0.97629512149069375,0.20082098397734521,0.55263157894736847,4
B2,4,3,100,lam=100,1140,380,2024-05-19,2024-08-16,1.0176515215555422,0.20907569270054341,0.50526315789473686,4
B2,4,1,300,lam=300,380,380,2022-05-22,2022-08-05,1.0019052778823843,0.21093881931462546,0.51052631578947372,29
B2,4,2,300,lam=300,760,380,2023-05-28,2023-08-11,0.96484332460037969,0.19893149917430286,0.56842105263157894,4
B2,4,3,300,lam=300,1140,380,2024-05-19,2024-08-16,1.0069677712146496,0.20708132878257349,0.50789473684210529,4
B2,4,1,1000,lam=1000,380,380,2022-05-22,2022-08-05,0.99993897067164961,0.21050639335862528,0.52894736842105261,29
B2,4,2,1000,lam=1000,760,380,2023-05-28,2023-08-11,0.96352722794834478,0.19968327450728413,0.58157894736842108,4
B2,4,3,1000,lam=1000,1140,380,2024-05-19,2024-08-16,1.0026951846650169,0.20658499074485384,0.51052631578947372,4
B2,4,1,3000,lam=3000,380,380,2022-05-22,2022-08-05,1.013298528374986,0.21497158023400856,0.51578947368421058,29
B2,4,2,3000,lam=3000,760,380,2023-05-28,2023-08-11,0.9755993078995181,0.20436931602137343,0.57631578947368423,4
B2,4,3,3000,lam=3000,1140,380,2024-05-19,2024-08-16,1.0092308817678657,0.20892225790163227,0.49736842105263157,4
B2,4,1,10000,lam=10000,380,380,2022-05-22,2022-08-05,1.0339160881911271,0.22237047549960196,0.49473684210526314,29
B2,4,2,10000,lam=10000,760,380,2023-05-28,2023-08-11,1.0042402474810104,0.21498248480712573,0.53157894736842104,4
B2,4,3,10000,lam=10000,1140,380,2024-05-19,2024-08-16,1.030126260416159,0.21615051355397397,0.49473684210526314,4
B3,1,1,100,lam=100,97,93,2021-10-30,2021-10-31,1.387857637455727,0.30621087055719193,0.29032258064516131,39
B3,1,2,100,lam=100,190,95,2022-01-02,2022-01-03,1.1343808006907681,0.24788296534681842,0.50526315789473686,35
B3,1,3,100,lam=100,285,95,2022-03-18,2022-03-19,0.97262646564653066,0.20037555510113886,0.57894736842105265,35
B3,1,1,300,lam=300,97,93,2021-10-30,2021-10-31,1.2535544742207156,0.28040668049495032,0.25806451612903225,39
B3,1,2,300,lam=300,190,95,2022-01-02,2022-01-03,1.0445799074166386,0.22935340217635158,0.50526315789473686,35
B3,1,3,300,lam=300,285,95,2022-03-18,2022-03-19,0.962597813409373,0.19895565646683275,0.54736842105263162,35
B3,1,1,1000,lam=1000,97,93,2021-10-30,2021-10-31,1.1417048660509597,0.25146865901401089,0.25806451612903225,39
B3,1,2,1000,lam=1000,190,95,2022-01-02,2022-01-03,1.0229160038911431,0.22590267521514995,0.51578947368421058,35
B3,1,3,1000,lam=1000,285,95,2022-03-18,2022-03-19,0.97171797154449913,0.20359936989429026,0.54736842105263162,35
B3,1,1,3000,lam=3000,97,93,2021-10-30,2021-10-31,1.1001608412992567,0.23829357677944812,0.25806451612903225,39
B3,1,2,3000,lam=3000,190,95,2022-01-02,2022-01-03,1.038091836206015,0.23265388281094235,0.4631578947368421,35
B3,1,3,3000,lam=3000,285,95,2022-03-18,2022-03-19,0.99803278377024451,0.21398180726753618,0.55789473684210522,35
B3,1,1,10000,lam=10000,97,93,2021-10-30,2021-10-31,1.090295598494224,0.23500752360826513,0.26881720430107525,39
B3,1,2,10000,lam=10000,190,95,2022-01-02,2022-01-03,1.0568038581384973,0.23996894664667645,0.40000000000000002,35
